"ID HISTÓRICO (itep)","Cód. IBGE/Apac","MUNICÍPIO","ESTAÇÃO","LAT","LON","ALT","LOCAL","TIPO PCD","TIPO","TIPO COLETA","OPERAÇÃO","BACIA HIDROGRÁFICA","MICRORREGIÃO","HOMOGENIA","MESORREGIÃO","DATA INSTALAÇÃO","DATA DESINSTALAÇÃO","GOOGLE"
"81","261430301V","Moreilândia","Moreilândia","-7.607","-39.550","530.0","Moreilândia","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","1/1/1935","","MAPA"
"TPLU192","261430301A","Moreilândia","Moreilândia","-7.627","-39.551","0.0","Estação de Tratamento de Água - Compesa","Meteorologica","Pluviometrica","Automática","APAC","BRÍGIDA","Sertão do Araripe","Sertão Pernambucano","Sertão Pernambucano","1/1/1970","","MAPA"
"205","260940201V","Moreno","Moreno","-8.112","-35.100","112.2","Moreno","Meteorologica","Pluviometrica","Convencional","APAC","GL-2","RMR","Zona da Mata e Litoral","Metropolitana do Recife","4/1/1967","","MAPA"
"368","260940202V","Moreno","Vitória de Santo Antão (Tapera)","-8.117","-35.183","250.3","Vitória de Santo Antão (Tapera)","Meteorologica","Pluviometrica","Convencional","APAC","Capibaribe","RMR","Zona da Mata e Litoral","Metropolitana do Recife","10/1/1967","","MAPA"
"1960","260940201H","Moreno","Moreno","-8.117","-35.100","94.0","Moreno","Hidrologica - Rios","Fluviometrica","Automática","ANA","GL-2","RMR","Zona da Mata e Litoral","Metropolitana do Recife","1/1/1970","","MAPA"
"2031","260940202A","Moreno","Moreno (Centro)","-8.118","-35.101","94.7","MORENO","Meteorologica","Pluviometrica","Automática","CEMADEN","GL-2","RMR","Zona da Mata e Litoral","Metropolitana do Recife","1/1/1970","","MAPA"
"2069","260940201A","Moreno","Moreno (Sertãozinho de Cima)","-8.105","-35.195","168.0","MORENO","Meteorologica","Pluviometrica","Automática","CEMADEN","Capibaribe","RMR","Zona da Mata e Litoral","Metropolitana do Recife","1/1/1970","","MAPA"
"97","260950101V","Nazaré da Mata","Nazaré da Mata","-7.741","-35.223","70.4","Nazaré da Mata","Meteorologica","Pluviometrica","Convencional","APAC","Goiana","Mata Norte","Zona da Mata e Litoral","Mata Pernambucana","1/1/1963","","MAPA"
"319","260950102V","Nazaré da Mata","Goiana (Matari)","-7.667","-35.133","65.8","Goiana (Matari)","Meteorologica","Pluviometrica","Convencional","APAC","Goiana","Mata Norte","Zona da Mata e Litoral","Mata Pernambucana","11/1/1923","","MAPA"
"1961","260950101H","Nazaré da Mata","Nazaré da Mata","-7.754","-35.233","67.0","Nazaré da Mata","Hidrologica - Rios","Fluviometrica","Automática","ANA","Goiana","Mata Norte","Zona da Mata e Litoral","Mata Pernambucana","1/1/1970","","MAPA"
"2032","260950101A","Nazaré da Mata","Nazaré da Mata (Engenho Coqueiro)","-7.733","-35.264","131.2","NAZARÉ DA MATA","Meteorologica","Pluviometrica","Automática","CEMADEN","Goiana","Mata Norte","Zona da Mata e Litoral","Mata Pernambucana","1/1/1970","","MAPA"
"2033","260950102A","Nazaré da Mata","Nazaré da Mata (Centro)","-7.740","-35.226","91.8","NAZARÉ DA MATA","Meteorologica","Pluviometrica","Automática","CEMADEN","Goiana","Mata Norte","Zona da Mata e Litoral","Mata Pernambucana","1/1/1970","","MAPA"
"2034","260950103A","Nazaré da Mata","Nazaré da Mata (Fazenda Sertãozinho)","-7.799","-35.263","130.4","NAZARÉ DA MATA","Meteorologica","Pluviometrica","Automática","CEMADEN","Goiana","Mata Norte","Zona da Mata e Litoral","Mata Pernambucana","1/1/1970","","MAPA"
"TPLU033","260950104A","Nazaré da Mata","Nazaré da Mata","-7.731","-35.233","0.0","Estação de Tratamento de Água - Compesa","Meteorologica","Pluviometrica","Automática","APAC","GOIANA","Mata Norte","Mata Pernambucana","Mata Pernambucana","1/1/1970","","MAPA"
"199","260960001V","Olinda","Olinda","-7.999","-34.859","25.7","Olinda","Meteorologica","Pluviometrica","Convencional","APAC","GL-1","RMR","Zona da Mata e Litoral","Metropolitana do Recife","4/16/1994","","MAPA"
"209","260960002V","Olinda","Olinda (Alto da Bondade)","-7.992","-34.906","41.3","Olinda (Alto da Bondade)","Meteorologica","Pluviometrica","Convencional","APAC","GL-1","RMR","Zona da Mata e Litoral","Metropolitana do Recife","9/23/2005","","MAPA"
"275","260960001M","Olinda","Olinda - PCD","-8.036","-34.869","5.8","Olinda - PCD","Meteorologica","Pluviometrica","Automática","APAC","Capibaribe","RMR","Zona da Mata e Litoral","Metropolitana do Recife","1/1/2000","","MAPA"
"355","260960001V","Olinda","Olinda (Memorial Arcoverde)","-8.036","-34.869","5.8","Olinda (Memorial Arcoverde)","Meteorologica","Pluviometrica","Convencional","APAC","Capibaribe","RMR","Zona da Mata e Litoral","Metropolitana do Recife","11/1/2007","","MAPA"
"551","260960002V","Olinda","Olinda (Academia Santa Gertrudes)","-8.012","-34.852","56.1","Olinda (Academia Santa Gertrudes)","Meteorologica","Pluviometrica","Convencional","APAC","GL-1","RMR","Zona da Mata e Litoral","Metropolitana do Recife","5/23/2007","","MAPA"
"860","260960001M","Olinda","Olinda - PCD","-8.036","-34.869","5.8","Olinda - PCD","Meteorologica","Pluviometrica","Automática","APAC","GL-2","RMR","Zona da Mata e Litoral","Metropolitana do Recife","1/1/1970","","MAPA"
"1988","260960006A","Olinda","Olinda (Espaco Ciencia)","-8.034","-34.869","4.9","Espaco Ciencia","Meteorologica","Pluviometrica","Automática","ANA_APAC","Capibaribe","RMR","Zona da Mata e Litoral","Metropolitana do Recife","1/1/1970","","MAPA"
"1992","260960007A","Olinda","Olinda (Alto da Bondade)","-7.987","-34.909","72.6","Defesa Civil (Olinda)","Meteorologica","Pluviometrica","Automática","ANA_APAC","GL-1","RMR","Zona da Mata e Litoral","Metropolitana do Recife","1/1/1970","","MAPA"
"1995","260960008A","Olinda","Olinda (Salgadinho)","-8.036","-34.869","5.0","Espaço Ciência (Olinda)","Meteorologica","Pluviometrica","Automática","ANA_APAC","Capibaribe","RMR","Zona da Mata e Litoral","Metropolitana do Recife","1/1/1970","","MAPA"
"1999","260960009A","Olinda","Olinda (Rio Doce)","-7.961","-34.832","8.7","1o. BPM - Batalhão Duarte Coelho","Meteorologica","Pluviometrica","Automática","ANA_APAC","GL-1","RMR","Zona da Mata e Litoral","Metropolitana do Recife","1/1/1970","","MAPA"
"2006","260960001A","Olinda","Olinda (Águas Compridas)","-7.983","-34.912","76.5","Olinda","Meteorologica","Pluviometrica","Automática","CEMADEN","GL-1","RMR","Zona da Mata e Litoral","Metropolitana do Recife","1/1/1970","7/31/2011","MAPA"
"2035","260960002A","Olinda","Olinda (Aguazinha)","-7.999","-34.887","22.8","OLINDA","Meteorologica","Pluviometrica","Automática","CEMADEN","GL-1","RMR","Zona da Mata e Litoral","Metropolitana do Recife","1/1/1970","","MAPA"
"2036","260960003A","Olinda","Olinda (Bonsucesso)","-8.008","-34.851","20.6","OLINDA","Meteorologica","Pluviometrica","Automática","CEMADEN","GL-1","RMR","Zona da Mata e Litoral","Metropolitana do Recife","1/1/1970","","MAPA"
"2037","260960004A","Olinda","Olinda (Jardim Fragoso)","-7.984","-34.853","12.6","OLINDA","Meteorologica","Pluviometrica","Automática","CEMADEN","GL-1","RMR","Zona da Mata e Litoral","Metropolitana do Recife","1/1/1970","","MAPA"
"2038","260960005A","Olinda","Olinda (Tabajara)","-7.973","-34.868","26.8","OLINDA","Meteorologica","Pluviometrica","Automática","CEMADEN","GL-1","RMR","Zona da Mata e Litoral","Metropolitana do Recife","1/1/1970","","MAPA"
"278","260970901V","Orobó","Orobó","-7.737","-35.607","420.4","Orobó","Meteorologica","Pluviometrica","Convencional","APAC","Goiana","Agreste Setentrional","Agreste Setentrional","Agreste Pernambucano","10/1/1997","","MAPA"
"463","260970902V","Orobó","Orobó","-7.737","-35.607","420.4","Orobó","Meteorologica","Pluviometrica","Convencional","APAC","Goiana","Agreste Setentrional","Agreste Setentrional","Agreste Pernambucano","1/1/1999","","MAPA"
"2151","260970901C","OROBÓ","OROBO [C]","-7.761","-35.607","0.0","OROBÓ","Meteorologica","Pluviometrica","Automática","CEMADEN","0","Agreste Setentrional","Agreste Pernambucano","Agreste Pernambucano","1/1/1970","","MAPA"
"89","260980801V","Orocó","Orocó (Faz. Tapera)","-8.583","-39.583","336.5","Orocó (Faz. Tapera)","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão do São Francisco","Sertão do São Francisco","Sertão Pernambucano","","","MAPA"
"169","260980802V","Orocó","Orocó","-8.618","-39.603","351.0","Orocó","Meteorologica","Pluviometrica","Convencional","APAC","GI-6","Sertão do São Francisco","Sertão do São Francisco","Sertão Pernambucano","","","MAPA"
"333","260980803V","Orocó","Cabrobó (Canto das Pedras)","-8.317","-39.617","385.9","Cabrobó (Canto das Pedras)","Meteorologica","Pluviometrica","Convencional","APAC","GI-5","Sertão do São Francisco","Sertão do São Francisco","Sertão Pernambucano","","","MAPA"
"2039","260980801A","Orocó","Orocó (Centro)","-8.619","-39.602","351.0","OROCÓ","Meteorologica","Pluviometrica","Automática","CEMADEN","GI-6","Sertão do São Francisco","Sertão do São Francisco","Sertão Pernambucano","","","MAPA"
"TPLU238","260980802A","Orocó","Orocó","-8.617","-39.604","0.0","Estação de Tratamento de Água - Compesa","Meteorologica","Pluviometrica","Automática","APAC","GI6","Sertão do São Francisco","Sertão Pernambucano","Sertão Pernambucano","","","MAPA"
"2152","260980801C","OROCÓ","OROCÓ [C]","-8.569","-39.591","0.0","OROCÓ","Meteorologica","Pluviometrica","Automática","CEMADEN","0","Sertão do São Francisco","Sertão Pernambucano","Sertão Pernambucano","","","MAPA"
"5","260990701V","Ouricuri","Ouricuri","-7.886","-40.088","455.2","Ouricuri","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","","","MAPA"
"37","260990702V","Ouricuri","Ouricuri (CHESF)","-7.883","-40.067","444.4","Ouricuri (CHESF)","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","","","MAPA"
"175","260990703V","Ouricuri","Ouricuri","-7.853","-40.339","482.0","Ouricuri","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","","","MAPA"
"230","260990704V","Ouricuri","Ouricuri (Sítio Estaca)","-7.956","-39.911","410.0","Ouricuri (Sítio Estaca)","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","","","MAPA"
"253","260990705V","Ouricuri","Ouricuri (Jatobá)","-8.007","-40.292","430.1","Ouricuri (Jatobá)","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","","","MAPA"
"373","260990701M","Ouricuri","Ouricuri - PCD","-7.879","-40.092","462.1","Ouricuri - PCD","Meteorologica","Pluviometrica","Automática","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","","","MAPA"
"411","260990701V","Ouricuri","Ouricuri (Jacaré)","-8.083","-40.200","421.1","Ouricuri (Jacaré)","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","","","MAPA"
"433","260990702V","Ouricuri","Ouricuri (Engenheiro Camacho)","-7.867","-40.150","460.4","Ouricuri (Engenheiro Camacho)","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","","","MAPA"
"470","260990703V","Ouricuri","Parnamirim","-8.090","-39.956","425.0","Parnamirim","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","","","MAPA"
"1888","260990701H","Ouricuri","Ouricuri (Algodões)","-7.976","-40.321","449.0","Algodões","Hidrologica - Reservatorio","Pluviometrica","Automática","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","","","MAPA"
"1929","260990702A","Ouricuri","Ouricuri","-7.870","-40.090","460.0","Ouricuri","Meteorologica","Pluviometrica","Automática","INPE","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","","","MAPA"
"1974","260990703A","Ouricuri","Ouricuri (INMET)","-7.885","-40.101","459.1","Ouricuri - INMET","Meteorologica","Pluviometrica","Automática","INMET","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","","","MAPA"
"TPLU193","260990701A","Ouricuri","Ouricuri (Jacaré)","-8.076","-40.216","0.0","Escola Municipal Galdencio Alves","Meteorologica","Pluviometrica","Automática","APAC","BRÍGIDA","Sertão do Araripe","Sertão Pernambucano","Sertão Pernambucano","","","MAPA"
"2153","260990701C","OURICURI","OURICURI [C]","-7.942","-40.158","0.0","OURICURI","Meteorologica","Pluviometrica","Automática","CEMADEN","0","Sertão do Araripe","Sertão Pernambucano","Sertão Pernambucano","","","MAPA"
"25","261000401V","Palmares","Palmares","-8.678","-35.580","108.0","Palmares","Meteorologica","Pluviometrica","Convencional","APAC","Una","Mata Sul","Zona da Mata e Litoral","Mata Pernambucana","","","MAPA"
"284","261000402V","Palmares","Catende (Usina Catende)","-8.667","-35.583","146.8","Catende (Usina Catende)","Meteorologica","Pluviometrica","Convencional","APAC","Una","Mata Sul","Zona da Mata e Litoral","Mata Pernambucana","","","MAPA"
"376","261000401M","Palmares","Palmares - PCD","-8.664","-35.569","161.7","Palmares - PCD","Meteorologica","Pluviometrica","Automática","APAC","Una","Mata Sul","Zona da Mata e Litoral","Mata Pernambucana","","","MAPA"
"418","261000401V","Palmares","Palmares","-8.682","-35.580","110.3","Palmares","Meteorologica","Pluviometrica","Convencional","APAC","Una","Mata Sul","Zona da Mata e Litoral","Mata Pernambucana","","","MAPA"
"1930","261000405A","Palmares","Palmares","-8.660","-35.570","180.0","Palmares","Meteorologica","Pluviometrica","Automática","INPE","Una","Mata Sul","Zona da Mata e Litoral","Mata Pernambucana","","","MAPA"
"1944","261000401H","Palmares","Palmares","-8.679","-35.577","107.0","Palmares","Hidrologica - Rios","Fluviometrica","Automática","ANA","Una","Mata Sul","Zona da Mata e Litoral","Mata Pernambucana","","","MAPA"
"1975","261000406A","Palmares","Palmares (INMET)","-8.666","-35.568","168.0","Palmares - INMET","Meteorologica","Pluviometrica","Automática","INMET","Una","Mata Sul","Zona da Mata e Litoral","Mata Pernambucana","","","MAPA"
"2040","261000401A","Palmares","Palmares (Santo Onofre)","-8.674","-35.590","178.0","PALMARES","Meteorologica","Pluviometrica","Automática","CEMADEN","Una","Mata Sul","Zona da Mata e Litoral","Mata Pernambucana","","","MAPA"
"2041","261000402A","Palmares","Palmares (Japaranduba)","-8.691","-35.604","112.7","PALMARES","Meteorologica","Pluviometrica","Automática","CEMADEN","Una","Mata Sul","Zona da Mata e Litoral","Mata Pernambucana","","","MAPA"
"TPLU048","261000404A","Palmares","Palmares (Serro Azul)","-8.592","-35.664","0.0","Barragem Serro Azul","Meteorologica","Pluviometrica","Automática","APAC","UNA","Mata Sul","Mata Pernambucana","Mata Pernambucana","","","MAPA"
"TPLU051","261000403A","Palmares","Palmares (Santo António dos Palmares)","-8.761","-35.675","0.0","SAAE ","Meteorologica","Pluviometrica","Automática","APAC","UNA","Mata Sul","Mata Pernambucana","Mata Pernambucana","","","MAPA"
"280","261010301V","Palmeirina","Palmeirina","-9.004","-36.326","540.0","Palmeirina","Meteorologica","Pluviometrica","Convencional","APAC","Mundaú","Agreste Meridional","Agreste Meridional","Agreste Pernambucano","","","MAPA"
"512","261010302V","Palmeirina","Palmeirina","-9.004","-36.326","544.0","Palmeirina","Meteorologica","Pluviometrica","Convencional","APAC","Mundaú","Agreste Meridional","Agreste Meridional","Agreste Pernambucano","","","MAPA"
"1945","261010301H","Palmeirina","Palmeirina","-9.004","-36.330","533.0","Palmeirina","Hidrologica - Rios","Fluviometrica","Automática","ANA","Mundaú","Agreste Meridional","Agreste Meridional","Agreste Pernambucano","","","MAPA"
"2183","261010301U","PALMEIRINA","PALMEIRINA [U]","-9.048","-36.312","0.0","PALMEIRINA","Agrometeorologica","Pluviometrica","Automática","CEMADEN","0","Agreste Meridional","Agreste Pernambucano","Agreste Pernambucano","","","MAPA"
"TPLU119","261010301A","Palmerina","Palmerina","-9.000","-36.335","0.0","Estação de Tratamento de Água - Compesa","Meteorologica","Pluviometrica","Automática","APAC","MUNDAÚ","Agreste Meridional","Agreste Pernambucano","Agreste Pernambucano","","","MAPA"
"121","261020201V","Panelas","Panelas","-8.663","-36.008","522.0","Panelas","Meteorologica","Pluviometrica","Convencional","APAC","Una","Agreste Central","Agreste Central","Agreste Pernambucano","","","MAPA"
"342","261020202V","Panelas","Panelas","-8.663","-36.008","520.4","Panelas","Meteorologica","Pluviometrica","Convencional","APAC","Una","Agreste Central","Agreste Central","Agreste Pernambucano","","","MAPA"
"TPLU087","261020201A","Panelas","Panelas","-8.661","-36.016","0.0","Projeto Renasce uma Esperança","Meteorologica","Pluviometrica","Automática","APAC","UNA","Agreste Central","Agreste Pernambucano","Agreste Pernambucano","","","MAPA"
"154","261030101V","Paranatama","Paranatama","-8.919","-36.658","864.3","Paranatama","Meteorologica","Pluviometrica","Convencional","APAC","GI-1","Agreste Meridional","Agreste Meridional","Agreste Pernambucano","","","MAPA"
"TPLU120","261030101A","Paranatama","Paranatama","-8.923","-36.661","0.0","Fonte Água Mineral Cristal Plus","Meteorologica","Pluviometrica","Automática","APAC","GI1","Agreste Meridional","Agreste Pernambucano","Agreste Pernambucano","","","MAPA"
"38","261040001V","Parnamirim","Parnamirim (CHESF)","-8.090","-39.577","401.5","Parnamirim (CHESF)","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão Central","Alto Sertão","Sertão Pernambucano","","","MAPA"
"172","261040002V","Parnamirim","Parnamirim","-8.089","-39.578","392.1","Parnamirim","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão Central","Alto Sertão","Sertão Pernambucano","","","MAPA"
"233","261040003V","Parnamirim","Parnamirim (Poço do Fumo)","-8.179","-39.732","372.9","Parnamirim (Poço do Fumo)","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão Central","Alto Sertão","Sertão Pernambucano","","","MAPA"
"245","261040004V","Parnamirim","Parnamirim (Jacaré)","-8.262","-39.845","375.9","Parnamirim (Jacaré)","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão Central","Alto Sertão","Sertão Pernambucano","","","MAPA"
"251","261040005V","Parnamirim","Parnamirim (Matias)","-8.172","-40.053","392.0","Parnamirim (Matias)","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão Central","Alto Sertão","Sertão Pernambucano","","","MAPA"
"324","261040006V","Parnamirim","Orocó (Bom Jesus)","-8.283","-39.650","451.5","Orocó (Bom Jesus)","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão Central","Alto Sertão","Sertão Pernambucano","","","MAPA"
"375","261040007V","Parnamirim","Granito (Colinas)","-7.917","-39.683","462.9","Granito (Colinas)","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão Central","Alto Sertão","Sertão Pernambucano","","","MAPA"
"413","261040008V","Parnamirim","Parnamirim (Icaiçara)","-8.083","-39.783","392.9","Parnamirim (Icaiçara)","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão Central","Alto Sertão","Sertão Pernambucano","","","MAPA"
"495","261040001H","Parnamirim","Ouricuri - PCD (Entremontes)","-8.250","-39.950","408.0","Ouricuri - PCD (Entremontes)","Hidrologica - Reservatorio","Pluviometrica","Automática","APAC","Brígida","Sertão Central","Alto Sertão","Sertão Pernambucano","","","MAPA"
"1891","261040002H","Parnamirim","Parnamirim (Entremontes)","-8.229","-39.898","384.0","Entremontes","Hidrologica - Reservatorio","Pluviometrica","Automática","APAC","Brígida","Sertão Central","Alto Sertão","Sertão Pernambucano","","","MAPA"
"TPLU167","261040001A","Parnamirim","Parnamirim (Matias)","-8.175","-40.053","0.0","Unidade de Saúde da Família","Meteorologica","Pluviometrica","Automática","APAC","BRÍGIDA","Sertão Central","Sertão Pernambucano","Sertão Pernambucano","","","MAPA"
"TPLU168","261040001A","Parnamirim","Parnamirim (Quixaba)","-8.013","-39.773","0.0","Escola Municipal Pedro Freir Modesto","Meteorologica","Pluviometrica","Automática","APAC","BRÍGIDA","Sertão Central","Sertão Pernambucano","Sertão Pernambucano","","","MAPA"
"2154","261040001C","PARNAMIRIM","PARNAMIRIM [C]","-8.172","-39.569","0.0","PARNAMIRIM","Meteorologica","Pluviometrica","Automática","CEMADEN","0","Sertão Central","Sertão Pernambucano","Sertão Pernambucano","","","MAPA"
"138","261050901V","Passira","Passira","-7.976","-35.584","186.0","Passira","Meteorologica","Pluviometrica","Convencional","APAC","Capibaribe","Agreste Setentrional","Agreste Setentrional","Agreste Pernambucano","","","MAPA"
"328","261050902V","Passira","Passira","-7.983","-35.567","168.9","Passira","Meteorologica","Pluviometrica","Convencional","APAC","Capibaribe","Agreste Setentrional","Agreste Setentrional","Agreste Pernambucano","","","MAPA"
"396","261050903V","Passira","Passira (Bengalas)","-8.017","-35.483","148.3","Passira (Bengalas)","Meteorologica","Pluviometrica","Convencional","APAC","Capibaribe","Agreste Setentrional","Agreste Setentrional","Agreste Pernambucano","","","MAPA"
"TPLU148","261050901A","Passira","Passira","-7.976","-35.588","0.0","Reservatório de Água - Compesa","Meteorologica","Pluviometrica","Automática","APAC","CAPIBARIBE","Agreste Setentrional","Agreste Pernambucano","Agreste Pernambucano","","","MAPA"
"98","261060801V","Paudalho","Paudalho","-7.918","-35.167","167.1","Paudalho","Meteorologica","Pluviometrica","Convencional","APAC","Capibaribe","Mata Norte","Zona da Mata e Litoral","Mata Pernambucana","","","MAPA"
"350","261060802V","Paudalho","São Lourenço da Mata (Engenho Sítio)  ","-7.967","-35.200","89.6","São Lourenço da Mata (Engenho Sítio)  ","Meteorologica","Pluviometrica","Convencional","APAC","Capibaribe","Mata Norte","Zona da Mata e Litoral","Mata Pernambucana","","","MAPA"
"354","261060803V","Paudalho","Paudalho (Usina Mussurepe)","-7.900","-35.133","75.3","Paudalho (Usina Mussurepe)","Meteorologica","Pluviometrica","Convencional","APAC","Capibaribe","Mata Norte","Zona da Mata e Litoral","Mata Pernambucana","","","MAPA"
"408","261060804V","Paudalho","Paudalho (Barragem de Goitá)","-7.969","-35.116","72.7","Paudalho (Barragem de Goitá)","Meteorologica","Pluviometrica","Convencional","APAC","Capibaribe","Mata Norte","Zona da Mata e Litoral","Mata Pernambucana","","","MAPA"
"1914","261060801H","Paudalho","Paudalho (Cursaí)","-7.879","-35.175","90.0","Cursaí","Hidrologica - Reservatorio","Pluviometrica","Automática","APAC","Capibaribe","Mata Norte","Zona da Mata e Litoral","Mata Pernambucana","","","MAPA"
"1946","261060802H","Paudalho","Paudalho","-7.894","-35.173","72.9","Paudalho","Hidrologica - Rios","Fluviometrica","Automática","ANA","Capibaribe","Mata Norte","Zona da Mata e Litoral","Mata Pernambucana","","","MAPA"
"1966","261060803H","Paudalho","Glória do Goitá","-7.970","-35.115","69.0","Glória do Goitá","Hidrologica - Reservatorio","Pluviometrica","Automática","ANA","Capibaribe","Mata Norte","Zona da Mata e Litoral","Mata Pernambucana","","","MAPA"
"TPLU038","261060801A","Paudalho","Paudalho","-7.882","-35.179","0.0","Estação de Tratamento de Água - Compesa","Meteorologica","Pluviometrica","Automática","APAC","CAPIBARIBE","Mata Norte","Mata Pernambucana","Mata Pernambucana","","","MAPA"
"TPLU037","261060801A","Paudalho","Paudalho (Guadalajara)","-7.955","-35.107","0.0","Assentamento","Meteorologica","Pluviometrica","Automática","APAC","CAPIBARIBE","Mata Norte","Mata Pernambucana","Mata Pernambucana","","","MAPA"
"451","261070701V","Paulista","Paulista","-7.942","-34.884","18.8","Paulista","Meteorologica","Pluviometrica","Convencional","APAC","GL-1","RMR","Zona da Mata e Litoral","Metropolitana do Recife","","","MAPA"
"2017","261070706A","Paulista","Paulista (Paratibe)","-7.930","-34.903","61.6","Paulista","Meteorologica","Pluviometrica","Automática","CEMADEN","GL-1","RMR","Zona da Mata e Litoral","Metropolitana do Recife","","","MAPA"
"2042","261070702A","Paulista","Paulista (Vila Torres Galvão)","-7.958","-34.876","50.2","PAULISTA","Meteorologica","Pluviometrica","Automática","CEMADEN","GL-1","RMR","Zona da Mata e Litoral","Metropolitana do Recife","","","MAPA"
"2043","261070703A","Paulista","Paulista (Maria Farinha)","-7.853","-34.836","6.7","PAULISTA","Meteorologica","Pluviometrica","Automática","CEMADEN","GL-1","RMR","Zona da Mata e Litoral","Metropolitana do Recife","","","MAPA"
"2044","261070704A","Paulista","Paulista (Janga)","-7.918","-34.829","8.7","PAULISTA","Meteorologica","Pluviometrica","Automática","CEMADEN","GL-1","RMR","Zona da Mata e Litoral","Metropolitana do Recife","","","MAPA"
"2045","261070705A","Paulista","Paulista (Janga 2)","-7.954","-34.830","6.6","PAULISTA","Meteorologica","Pluviometrica","Automática","CEMADEN","GL-1","RMR","Zona da Mata e Litoral","Metropolitana do Recife","","","MAPA"
"TPLU009","261070707A","Paulista","Paulista","-7.932","-34.945","0.0","Estrada de Mumbeca (Sítio Pica-Pau)","Meteorologica","Pluviometrica","Automática","APAC","GL1","Região Metropolitana","Região Metropolitana do Recife","Região Metropolitana do Recife","","","MAPA"
"150","261080601V","Pedra","Pedra","-8.501","-36.945","591.9","Pedra","Meteorologica","Pluviometrica","Convencional","APAC","Ipanema","Agreste Meridional","Agreste Meridional","Agreste Pernambucano","","","MAPA"
"208","261080602V","Pedra","Pedra (São Pedro do Cordeiro)","-8.863","-36.943","432.9","Pedra (São Pedro do Cordeiro)","Meteorologica","Pluviometrica","Convencional","APAC","Ipanema","Agreste Meridional","Agreste Meridional","Agreste Pernambucano","","","MAPA"
"423","261080603V","Pedra","Pedra (Tará)","-8.733","-36.867","522.1","Pedra (Tará)","Meteorologica","Pluviometrica","Convencional","APAC","Ipanema","Agreste Meridional","Agreste Meridional","Agreste Pernambucano","","","MAPA"
"1919","261080601H","Pedra","Pedra (Riacho do Pau - Arcoverde)","-8.558","-36.986","517.0","Riacho do Pau - Arcoverde","Hidrologica - Reservatorio","Pluviometrica","Automática","APAC","Ipanema","Agreste Meridional","Agreste Meridional","Agreste Pernambucano","","","MAPA"
"2155","261080601C","PEDRA","PEDRA [C]","-8.833","-36.927","0.0","PEDRA","Meteorologica","Pluviometrica","Automática","CEMADEN","0","Agreste Meridional","Agreste Pernambucano","Agreste Pernambucano","","","MAPA"
"TPLU121","261080601A","Pedra  ","Pedra  ","-8.500","-36.941","0.0","Estação de Tratamento de Água - Compesa","Meteorologica","Pluviometrica","Automática","APAC","IPANEMA","Agreste Meridional","Agreste Pernambucano","Agreste Pernambucano","","","MAPA"
"18","261090501V","Pesqueira","Pesqueira","-8.353","-36.697","667.9","Pesqueira","Meteorologica","Pluviometrica","Convencional","APAC","Ipanema","Agreste Central","Agreste Central","Agreste Pernambucano","","","MAPA"
"158","261090502V","Pesqueira","Pesqueira","-8.350","-36.850","893.0","Pesqueira","Meteorologica","Pluviometrica","Convencional","APAC","Ipanema","Agreste Central","Agreste Central","Agreste Pernambucano","","","MAPA"
"435","261090503V","Pesqueira","Pesqueira (Salobro)","-8.617","-36.700","770.5","Pesqueira (Salobro)","Meteorologica","Pluviometrica","Convencional","APAC","Ipojuca","Agreste Central","Agreste Central","Agreste Pernambucano","","","MAPA"
