"ID HISTÓRICO (itep)","Cód. IBGE/Apac","MUNICÍPIO","ESTAÇÃO","LAT","LON","ALT","LOCAL","TIPO PCD","TIPO","TIPO COLETA","OPERAÇÃO","BACIA HIDROGRÁFICA","MICRORREGIÃO","HOMOGENIA","MESORREGIÃO","DATA INSTALAÇÃO","DATA DESINSTALAÇÃO","GOOGLE"
"TPLU077","260030201A","Agrestina","Agrestina","-8.442","-35.952","457.0","Estação de Tratamento de Água - Compesa","Meteorologica","Pluviometrica","Automática","APAC","UNA","Agreste Central","Agreste Pernambucano","Agreste Pernambucano","1/1/1970","8/31/1974","MAPA"
"80","260040101V","Água Preta","Água Preta","-8.703","-35.522","91.0","Água Preta","Meteorologica","Pluviometrica","Convencional","APAC","Una","Mata Sul","Zona da Mata e Litoral","Mata Pernambucana","1/1/1982","7/1/1998","MAPA"
"2071","260040101A","Água Preta","Água Preta (Bairro D'Ouro)","-8.694","-35.526","102.8","ÁGUA PRETA","Meteorologica","Pluviometrica","Automática","CEMADEN","Una","Mata Sul","Zona da Mata e Litoral","Mata Pernambucana","1/1/1970","6/8/2007","MAPA"
"TPLU058","260040102A","Água Preta","Água Preta","-8.709","-35.522","0.0","SAAE - Água Preta","Meteorologica","Pluviometrica","Automática","APAC","UNA","Mata Sul","Mata Pernambucana","Mata Pernambucana","1/1/1970","6/1/2001","MAPA"
"78","260050001V","Águas Belas","Águas Belas","-9.112","-37.120","380.0","Águas Belas","Meteorologica","Pluviometrica","Convencional","APAC","Ipanema","Agreste Meridional","Agreste Meridional","Agreste Pernambucano","6/1/1920","","MAPA"
"210","260050002V","Águas Belas","Bom Conselho (Barra do Brejo)","-9.172","-37.155","356.1","Bom Conselho (Barra do Brejo)","Meteorologica","Pluviometrica","Convencional","APAC","Ipanema","Agreste Meridional","Agreste Meridional","Agreste Pernambucano","11/1/1962","7/2/2007","MAPA"
"300","260050003V","Águas Belas","Águas Belas (Garcia)","-9.112","-37.121","382.0","Águas Belas (Garcia)","Meteorologica","Pluviometrica","Convencional","APAC","Ipanema","Agreste Meridional","Agreste Meridional","Agreste Pernambucano","1/1/1963","5/10/2004","MAPA"
"607","260050001U","Águas Belas","Águas Belas","-9.129","-37.037","380.9","Águas Belas","Agrometeorologica","Pluviometrica","Automática","APAC","Ipanema","Agreste Meridional","Agreste Meridional","Agreste Pernambucano","3/1/2013","3/30/2000","MAPA"
"2072","260050001A","Águas Belas","Águas Belas (Garanhuns)","-9.128","-37.037","385.2","ÁGUAS BELAS","Meteorologica","Pluviometrica","Automática","CEMADEN","Ipanema","Agreste Meridional","Agreste Meridional","Agreste Pernambucano","1/1/1970","","MAPA"
"2073","260050002A","Águas Belas","Águas Belas (Centro)","-9.116","-37.118","382.8","ÁGUAS BELAS","Meteorologica","Pluviometrica","Automática","CEMADEN","Ipanema","Agreste Meridional","Agreste Meridional","Agreste Pernambucano","1/1/1970","","MAPA"
"140","260060901V","Alagoinha","Alagoinha","-8.466","-36.774","726.2","Alagoinha","Meteorologica","Pluviometrica","Convencional","APAC","Ipanema","Agreste Central","Agreste Central","Agreste Pernambucano","11/1/1962","","MAPA"
"2186","260060901U","ALAGOINHA","ALAGOINHA [U]","-8.459","-36.770","0.0","ALAGOINHA","Agrometeorologica","Pluviometrica","Automática","CEMADEN","0","Agreste Central","Agreste Pernambucano","Agreste Pernambucano","1/1/1970","","MAPA"
"66","260070801V","Aliança","Aliança","-7.604","-35.231","125.2","Aliança","Meteorologica","Pluviometrica","Convencional","APAC","Goiana","Mata Norte","Zona da Mata e Litoral","Mata Pernambucana","1/1/1963","","MAPA"
"454","260070802V","Aliança","Aliança","-7.604","-35.233","109.4","Aliança","Meteorologica","Pluviometrica","Convencional","APAC","Goiana","Mata Norte","Zona da Mata e Litoral","Mata Pernambucana","9/1/1999","6/6/2007","MAPA"
"TPLU021","260070801A","Aliança","Aliança","-7.609","-35.235","0.0","Horta Comunitária","Meteorologica","Pluviometrica","Automática","APAC","GOIANA","Mata Norte","Mata Pernambucana","Mata Pernambucana","1/1/1970","","MAPA"
"116","260080701V","Altinho","Altinho","-8.491","-36.060","458.7","Altinho","Meteorologica","Pluviometrica","Convencional","APAC","Una","Agreste Central","Agreste Central","Agreste Pernambucano","1/1/1963","12/31/1958","MAPA"
"455","260080702V","Altinho","Altinho","-8.491","-36.116","535.0","Altinho","Meteorologica","Pluviometrica","Convencional","APAC","Una","Agreste Central","Agreste Central","Agreste Pernambucano","1/1/1999","6/30/1930","MAPA"
"TPLU078","260080702A","Altinho","Altinho","-8.490","-36.058","0.0","Estação de Tratamento de Água - Compesa","Meteorologica","Pluviometrica","Automática","APAC","UNA","Agreste Central","Agreste Pernambucano","Agreste Pernambucano","1/1/1970","4/30/1951","MAPA"
"2116","260080701C","ALTINHO","ALTINHO [C]","-8.484","-36.186","0.0","ALTINHO","Meteorologica","Pluviometrica","Automática","CEMADEN","0","Agreste Central","Agreste Pernambucano","Agreste Pernambucano","1/1/1970","12/31/1954","MAPA"
"105","260090601V","Amaraji","Amaraji","-8.378","-35.447","319.4","Amaraji","Meteorologica","Pluviometrica","Convencional","APAC","Sirinhaém","Mata Sul","Zona da Mata e Litoral","Mata Pernambucana","1/1/1993","2/28/2001","MAPA"
"1951","260090601H","Amaraji","Amaraji","-8.380","-35.455","268.0","Amaraji","Hidrologica - Rios","Fluviometrica","Automática","ANA","Sirinhaém","Mata Sul","Zona da Mata e Litoral","Mata Pernambucana","1/1/1970","","MAPA"
"TPLU059","260090601A","Amaraji","Amaraji","-8.378","-35.447","0.0","SAAE","Meteorologica","Pluviometrica","Automática","APAC","SIRINHAÉM","Mata Sul","Mata Pernambucana","Mata Pernambucana","1/1/1970","7/30/1999","MAPA"
"52","260100301V","Angelim","Angelim","-8.888","-36.286","661.2","Angelim","Meteorologica","Pluviometrica","Convencional","APAC","Mundaú","Agreste Meridional","Agreste Meridional","Agreste Pernambucano","1/1/1993","6/30/1959","MAPA"
"TPLU109","260100301A","Angelim","Angelim","-8.888","-36.286","0.0","Reservatório Compesa","Meteorologica","Pluviometrica","Automática","APAC","MUNDAÚ","Agreste Meridional","Agreste Pernambucano","Agreste Pernambucano","1/1/1970","","MAPA"
"309","260105201V","Araçoiaba","Araçoiaba (Granja Cristo Redentor)","-7.799","-35.104","161.1","Araçoiaba (Granja Cristo Redentor)","Meteorologica","Pluviometrica","Convencional","APAC","GL-1","RMR","Zona da Mata e Litoral","Metropolitana do Recife","7/20/2005","10/1/1999","MAPA"
"442","260105202V","Araçoiaba","Igarassu (Botafogo)","-7.867","-35.050","98.5","Igarassu (Botafogo)","Meteorologica","Pluviometrica","Convencional","APAC","GL-1","RMR","Zona da Mata e Litoral","Metropolitana do Recife","1/1/1985","2/1/2007","MAPA"
"544","260105203V","Araçoiaba","Araçoiaba","-7.789","-35.091","168.0","Araçoiaba","Meteorologica","Pluviometrica","Convencional","APAC","GL-1","RMR","Zona da Mata e Litoral","Metropolitana do Recife","7/27/2006","7/10/2007","MAPA"
"TPLU003","260105201A","Araçoiaba","Araçoiaba","-7.789","-35.091","0.0","Prefeitura","Meteorologica","Pluviometrica","Automática","APAC","GL1","Região Metropolitana","Região Metropolitana do Recife","Região Metropolitana do Recife","1/1/1970","8/5/2004","MAPA"
"2","260110201V","Araripina","Araripina (IPA)","-7.458","-40.417","828.3","Araripina (IPA)","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","1/1/1952","","MAPA"
"3","260110202V","Araripina","Araripina","-7.577","-40.506","639.5","Araripina","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","1/1/1993","6/5/2007","MAPA"
"36","260110203V","Araripina","Araripina (CHESF)","-7.550","-40.567","645.0","Araripina (CHESF)","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","12/1/1934","","MAPA"
"163","260110204V","Araripina","Araripina (Morais)","-7.650","-40.400","547.0","Araripina (Morais)","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","10/1/1962","","MAPA"
"225","260110201M","Araripina","Araripina - PCD","-7.458","-40.417","831.7","Araripina - PCD","Meteorologica","Pluviometrica","Automática","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","11/1/1995","4/30/1994","MAPA"
"232","260110205V","Araripina","Araripina (Sítio Boa Vista)","-7.885","-40.494","593.1","Araripina (Sítio Boa Vista)","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","9/1/1962","11/30/1996","MAPA"
"575","260110206V","Araripina","Araripina (Centro)","-7.573","-40.496","602.9","Araripina (Centro)","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","6/5/2009","4/30/2003","MAPA"
"576","260110207V","Araripina","Araripina (Serrania)","-7.448","-40.658","784.0","Araripina (Serrania)","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","6/6/2009","","MAPA"
"577","260110208V","Araripina","Araripina (Feira Nova do Saco)","-7.521","-40.565","646.8","Araripina (Feira Nova do Saco)","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","6/6/2009","12/31/1977","MAPA"
"578","260110209V","Araripina","Araripina (Cavaco)","-7.465","-40.513","661.2","Araripina (Cavaco)","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","6/6/2009","11/30/1989","MAPA"
"579","260110210V","Araripina","Araripina (lagoa do Barro)","-7.765","-40.366","507.0","Araripina (lagoa do Barro)","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","6/6/2009","12/31/1991","MAPA"
"580","260110211V","Araripina","Araripina (Morais)","-7.648","-40.416","576.9","Araripina (Morais)","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","6/6/2009","7/1/1998","MAPA"
"581","260110212V","Araripina","Araripina (Lagoa de Dentro)","-7.659","-40.507","613.3","Araripina (Lagoa de Dentro)","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","6/7/2009","1/31/2007","MAPA"
"582","260110213V","Araripina","Araripina (Nascente)","-7.875","-40.486","561.0","Araripina (Nascente)","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","6/7/2009","","MAPA"
"583","260110214V","Araripina","Araripina (Rancharia)","-7.715","-40.580","578.0","Araripina (Rancharia)","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","6/7/2009","6/30/1999","MAPA"
"584","260110215V","Araripina","Araripina (Gergelim)","-7.811","-40.485","549.1","Araripina (Gergelim)","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","7/1/2009","6/30/1998","MAPA"
"1909","260110201H","Araripina","Araripina (Lagoa do Barro)","-7.771","-40.376","499.0","Lagoa do Barro","Hidrologica - Reservatorio","Pluviometrica","Automática","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","1/1/1970","","MAPA"
